headline,summary,content,url,image_url,published_date,source_name,market
Big Tech’s AI Obsession Is Shaking Wall Street | Vantage with Palki Sharma | N18G,"Wall Street’s AI party may be hitting its first reality check. For 18 months, the “Magnificent 7” — Apple, Microsoft, Amazon, Alphabet, Meta, Tesla, and Nvidia — have powered the S&P 500. But cracks are showing. A blunt MIT study revealed that 95% of AI pilot projects fail, sparking panic selling. Nvidia, Meta, Palantir, and others tumbled as investors questioned whether AI is truly delivering returns or just burning cash. Big Tech plans to spend $400B on AI infrastructure in 2025 — but will hype keep pace with reality? Is this the start of the AI bubble bursting? Palki Sharma tells you.","Big Tech’s AI Obsession Is Shaking Wall Street | Vantage with Palki Sharma | N18G
Wall Street’s AI party may be hitting its first reality check. For 18 months, the “Magnificent 7” — Apple, Microsoft, Amazon, Alphabet, Meta, Tesla, and Nvidia — have p... [435 chars]",https://www.firstpost.com/vantage/big-techs-ai-obsession-is-shaking-wall-street-vantage-with-palki-sharma-n18g-vd1373167/,"https://media.nw18.com/media-assets/wbx6pq/08-2025/21-2025/WTat2h3yGG-2008-US-TECH--METAVODjpg-k3Dxl8EG9S.jpg?im=FitAndFill,width=1200,height=675",2025-08-21 16:24:44+00:00,Firstpost,SP500
An under-the-surface market divergence could spell trouble for Wall Street,About 65% of the stocks in the S&P 500 index currently trade above their 200-day moving average.,"Breadth isn't keeping up with the S & P 500 's rally to record levels this summer, according to LPL Financial. About 65% of stocks in the S & P 500 index are currently trading above their 200-day moving average, which is commonly used as a measure of... [1339 chars]",https://www.cnbc.com/2025/08/21/an-under-the-surface-market-divergence-could-spell-trouble-for-wall-street.html,https://image.cnbcfm.com/api/v1/image/108187211-17555282912025-08-18t143904z_117076862_rc2p9ga2cfg3_rtrmadp_0_usa-stocks.jpeg?v=1755528505&w=1920&h=1080,2025-08-21 16:04:45+00:00,CNBC,SP500
"How AI darling Palantir became the S&P 500's best and worst stock of 2025, climbing 144% before shedding value in 6 straight sessions",Over $73 billion has been wiped off high-flying Palantir's market cap in recent days.,"Palantir Technologies has created one of the most dramatic stories on Wall Street this year, defying conventional investment narratives. In 2025, it became the top-performing stock in the S&P 500, surging over 106% and at points climbing 144% from th... [4583 chars]",https://fortune.com/2025/08/21/why-palantir-stock-falling-openai-bubble-citron-shortseller-andrew-left/,"https://fortune.com/img-assets/wp-content/uploads/2025/08/GettyImages-2224614234_0853d7-e1755785722870.jpg?resize=1200,600",2025-08-21 15:53:16+00:00,Fortune,SP500
"US stocks fall: Dow drops 0.3%, S&P 500 hits fifth losing day, Nasdaq slides as Walmart earnings miss and manufacturing surges","US Stock Market Today slipped into caution on Thursday as the Dow Jones fell 230 points, the S&P 500 marked its fifth straight loss, and the Nasdaq ended slightly weaker. The days biggest shock came from Walmart earnings, with shares plunging nearly 5% on thinner margins despite solid revenue, sparking concerns over consumer resilience.","Dow Jones Industrial Average (DJIA): Down about 230 points, slipping roughly 0.5% .
Down about 230 points, slipping roughly . S&P 500 Index: Fell for a fifth straight session , down around 0.3% .
Fell for a , down around . Nasdaq Composite: Edged low... [10826 chars]",https://economictimes.indiatimes.com/news/international/us/us-stocks-fall-today-dow-drops-0-3-sp-500-hits-fifth-losing-day-nasdaq-slides-as-walmart-earnings-miss-and-manufacturing-surges/articleshow/123435642.cms,"https://img.etimg.com/thumb/msid-123436173,width-1200,height-630,imgsize-111000,overlay-economictimes/articleshow.jpg",2025-08-21 15:41:00+00:00,Economic Times,SP500
"Wall Street poursuit sa baisse, entre aversion au risque et craintes économiques","Vers 16h, le Dow Jones recule de 0,54%, le Nasdaq de 0,61% et l’indice élargi S&P 500 reflue de 0,51%.","Vers 16h, le Dow Jones recule de 0,54%, le Nasdaq de 0,61% et l’indice élargi S&P 500 reflue de 0,51%.
La Bourse de New York recule à nouveau jeudi, les investisseurs se détournant des mégacapitalisations dans un mouvement d’aversion au risque, alors... [3342 chars]",https://www.allnews.ch/content/march%C3%A9s/wall-street-poursuit-sa-baisse-entre-aversion-au-risque-et-craintes-%C3%A9conomiques,https://www.allnews.ch/sites/default/files/styles/large/public/allnews_etats_unis_30_0.jpg?h=3e8863a2&itok=XMOsEPBD,2025-08-21 14:22:19+00:00,allnews.ch,SP500
WISDOMTREE MULTI ASSET ISSUER PUBLIC LIMITED COMPANY (a public company incorporated with limited liability in Ireland) WISDOMTREE S&P 500 3X DAILY SHORT SECURITIES RESULTS OF MEETING OF THE ETP SECURI,21 August 2025,"21 August 2025
LSE Code: 3USS
WISDOMTREE MULTI ASSET ISSUER PUBLIC LIMITED COMPANY
(a public company incorporated with limited liability in Ireland)
WISDOMTREE S&P 500 3X DAILY SHORT SECURITIES
Get the latest news
delivered to your inbox Sign up for ... [703 chars]",https://www.manilatimes.net/2025/08/21/tmt-newswire/globenewswire/wisdomtree-multi-asset-issuer-public-limited-company-a-public-company-incorporated-with-limited-liability-in-ireland-wisdomtree-sp-500-3x-daily-short-securities-results-of-meeting-of-the-etp-securityholders/2171857,https://cdn4.premiumread.com/?url=https://www.manilatimes.net/theme_manilatimes/images/TMT_1920x1008.jpg&w=1920&q=100&f=webp&v=1,2025-08-21 14:09:44+00:00,The Manila Times,SP500
"US market today: Wall Street slips as Walmart drags S&P 500 toward fifth straight loss, Jerome Powell speech in focus","International Business News: US stocks experienced another decline on Thursday, with the S&P 500, Dow, and Nasdaq all posting losses. Walmart's disappointing profit forecast signi","US stocks slipped again on Thursday, extending a run of modest losses that began after last week’s record high. The S&P 500 eased 0.3%, putting it on track for a fifth straight decline. The Dow Jones Industrial Average shed 236 points, or 0.5%, while... [2099 chars]",https://timesofindia.indiatimes.com/business/international-business/us-market-today-wall-street-slips-as-walmart-drags-sp-500-toward-fifth-straight-loss-jerome-powell-speech-in-focus/articleshow/123434233.cms,"https://static.toiimg.com/thumb/msid-123434902,width-1070,height-580,imgsize-1153514,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",2025-08-21 14:02:00+00:00,Times of India,SP500
Stocks are falling again on Wall Street after a weaker-than-expected profit report from Walmart,"NEW YORK (AP) — U.S. stocks are falling again, this time after the country’s largest retailer reported profits that came up short of Wall Street’s expectations. The S&P 500 fell 0.","NEW YORK (AP) — U.S. stocks are falling again, this time after the country’s largest retailer reported profits that came up short of Wall Street’s expectations. The S&P 500 fell 0.5% in early trading Thursday and was on track for a fifth straight mod... [4096 chars]",https://www.bradfordtoday.ca/national-business/stocks-are-falling-again-on-wall-street-after-a-weaker-than-expected-profit-report-from-walmart-11104939,https://www.vmcdn.ca/f/files/shared/feeds/cp/2025/08/219c137859fd31bb974fa2b22049c86efcc4031b65c877ea3529ba6c8ef43d20.jpg;w=1200;h=800;mode=crop,2025-08-21 13:34:16+00:00,BradfordToday,SP500
Stocks are falling again on Wall Street after a weaker-than-expected profit report from Walmart,"NEW YORK (AP) — U.S. stocks are falling again, this time after the country’s largest retailer reported profits that came up short of Wall Street’s expectations. The S&P 500 fell 0.","NEW YORK (AP) — U.S. stocks are falling again, this time after the country’s largest retailer reported profits that came up short of Wall Street’s expectations. The S&P 500 fell 0.5% in early trading Thursday and was on track for a fifth straight mod... [4096 chars]",https://www.guelphtoday.com/national-business/stocks-are-falling-again-on-wall-street-after-a-weaker-than-expected-profit-report-from-walmart-11104939,https://www.vmcdn.ca/f/files/shared/feeds/cp/2025/08/219c137859fd31bb974fa2b22049c86efcc4031b65c877ea3529ba6c8ef43d20.jpg;w=1200;h=800;mode=crop,2025-08-21 13:34:16+00:00,GuelphToday,SP500
Stocks are falling again on Wall Street after a weaker-than-expected profit report from Walmart,"NEW YORK (AP) — U.S. stocks are falling again, this time after the country’s largest retailer reported profits that came up short of Wall Street’s expectations. The S&P 500 fell 0.","NEW YORK (AP) — U.S. stocks are falling again, this time after the country’s largest retailer reported profits that came up short of Wall Street’s expectations. The S&P 500 fell 0.5% in early trading Thursday and was on track for a fifth straight mod... [4096 chars]",https://www.elliotlaketoday.com/national-business/stocks-are-falling-again-on-wall-street-after-a-weaker-than-expected-profit-report-from-walmart-11104939,https://www.vmcdn.ca/f/files/shared/feeds/cp/2025/08/219c137859fd31bb974fa2b22049c86efcc4031b65c877ea3529ba6c8ef43d20.jpg;w=1200;h=800;mode=crop,2025-08-21 13:34:16+00:00,ElliotLakeToday.com,SP500
Stocks are falling again on Wall Street after a weaker-than-expected profit report from Walmart,"NEW YORK (AP) — U.S. stocks are falling again, this time after the country’s largest retailer reported profits that came up short of Wall Street’s expectations. The S&P 500 fell 0.","NEW YORK (AP) — U.S. stocks are falling again, this time after the country’s largest retailer reported profits that came up short of Wall Street’s expectations. The S&P 500 fell 0.
NEW YORK (AP) — U.S. stocks are falling again, this time after the co... [4277 chars]",https://www.vancouverisawesome.com/national-business/stocks-are-falling-again-on-wall-street-after-a-weaker-than-expected-profit-report-from-walmart-11104941,https://www.vmcdn.ca/f/files/shared/feeds/cp/2025/08/219c137859fd31bb974fa2b22049c86efcc4031b65c877ea3529ba6c8ef43d20.jpg;w=1200;h=800;mode=crop,2025-08-21 13:34:16+00:00,Vancouver Is Awesome,SP500
