Date,Value
01/01/2008,923.75
02/01/2008,969
03/01/2008,937.25
04/01/2008,867.75
05/01/2008,879.5
06/01/2008,932.75
07/01/2008,912
08/01/2008,836.5
09/01/2008,897
10/01/2008,728.5
11/01/2008,813.5
12/01/2008,865
01/01/2009,918.5
02/01/2009,943.75
03/01/2009,918.5
04/01/2009,889
05/01/2009,972
06/01/2009,941
07/01/2009,936.5
08/01/2009,950.75
09/01/2009,1001.25
10/01/2009,1044.5
11/01/2009,1172
12/01/2009,1104
01/01/2010,1082.75
02/01/2010,1112.5
03/01/2010,1109.5
04/01/2010,1175.25
05/01/2010,1214
06/01/2010,1240.5
07/01/2010,1168
08/01/2010,1233.5
09/01/2010,1311
10/01/2010,1336.75
11/01/2010,1375
12/01/2010,1410.25
01/01/2011,1333.5
02/01/2011,1409.75
03/01/2011,1431
04/01/2011,1531
05/01/2011,1537
06/01/2011,1508
07/01/2011,1613.75
08/01/2011,1826
09/01/2011,1629
10/01/2011,1718
11/01/2011,1704
12/01/2011,1574.5
01/01/2012,1738
02/01/2012,1788
03/01/2012,1660.75
04/01/2012,1662.5
05/01/2012,1567.5
06/01/2012,1569.5
07/01/2012,1622.75
08/01/2012,1657.75
09/01/2012,1781
10/01/2012,1718
11/01/2012,1728.25
12/01/2012,1664
01/01/2013,1674.5
02/01/2013,1591
03/01/2013,1602.5
04/01/2013,1472.75
05/01/2013,1410.25
06/01/2013,1203.25
07/01/2013,1331.5
08/01/2013,1392.75
09/01/2013,1335.75
10/01/2013,1333.75
11/01/2013,1245.25
12/01/2013,1201.5
01/01/2014,1246.5
02/01/2014,1327.75
03/01/2014,1294
04/01/2014,1292
05/01/2014,1254
06/01/2014,1313
07/01/2014,1295
08/01/2014,1285.75
09/01/2014,1210
10/01/2014,1173.25
11/01/2014,1184.5
12/01/2014,1199.25
01/01/2015,1263.5
02/01/2015,1205
03/01/2015,1179.25
04/01/2015,1204.3
05/01/2015,1189.8
06/01/2015,1171.8
07/01/2015,1095.1
08/01/2015,1132.5
09/01/2015,1115.2
10/01/2015,1141.4
11/01/2015,1065.3
12/01/2015,1060.2
01/01/2016,1116.4
02/01/2016,1234.4
03/01/2016,1235.6
04/01/2016,1290.5
05/01/2016,1217.5
06/01/2016,1320.6
07/01/2016,1357.5
08/01/2016,1311.4
09/01/2016,1317.1
10/01/2016,1273.1
11/01/2016,1173.9
12/01/2016,1151.7
01/01/2017,1211.4
02/01/2017,1253.9
03/01/2017,1251.2
04/01/2017,1268.3
05/01/2017,1275.4
06/01/2017,1242.3
07/01/2017,1273.4
08/01/2017,1322.2
09/01/2017,1284.8
10/01/2017,1270.5
11/01/2017,1282.15
12/01/2017,1296.5
01/01/2018,1343.35
02/01/2018,1320.3
03/01/2018,1323.9
04/01/2018,1316.25
05/01/2018,1303.5
06/01/2018,1250.55
07/01/2018,1219.2
08/01/2018,1206.85
09/01/2018,1183.5
10/01/2018,1217.7
11/01/2018,1220.45
12/01/2018,1281.65
01/01/2019,1322.5
02/01/2019,1325.45
03/01/2019,1291.15
04/01/2019,1285.15
05/01/2019,1296
06/01/2019,1413.2
07/01/2019,1430.55
08/01/2019,1526.55
09/01/2019,1487.6
10/01/2019,1506.4
11/01/2019,1456.35
12/01/2019,1523
01/01/2020,1580.85
02/01/2020,1626.35
03/01/2020,1604.65
04/01/2020,1716.75
05/01/2020,1725.65
06/01/2020,1770.7
07/01/2020,1971.68
08/01/2020,1970.5
09/01/2020,1893.9
10/01/2020,1879.9
11/01/2020,1779.86
12/01/2020,1895.1
01/01/2021,1849.7
02/01/2021,1728.8
03/01/2021,1715.24
04/01/2021,1767.7
05/01/2021,1904.74
06/01/2021,1771.6
07/01/2021,1814.12
08/01/2021,1815.8
09/01/2021,1756.66
10/01/2021,1783.9
11/01/2021,1775.92
12/01/2021,1828.6
01/01/2022,1796.12
02/01/2022,1900.7
03/01/2022,1953.04
04/01/2022,1911.7
05/01/2022,1847.26
06/01/2022,1817.4548
07/01/2022,1766.4309
08/01/2022,1708.58
09/01/2022,1660.8799
10/01/2022,1632.38
11/01/2022,1768.61
12/01/2022,1824.3233
01/01/2023,1928.1201
02/01/2023,1826.7404
03/01/2023,1969.5459
04/01/2023,1990.6
05/01/2023,1965.2
06/01/2023,1919.5693
07/01/2023,1964.3387
08/01/2023,1939.8281
09/01/2023,1848.4898
10/01/2023,1984.0109
11/01/2023,2044.8957
12/01/2023,2062.9233
01/01/2024,2039.1538
02/01/2024,2044.1997
03/01/2024,2231.5551
04/01/2024,2285.9886
05/01/2024,2327.2836
06/01/2024,2326.7177
07/01/2024,2447.3573
08/01/2024,2503.3796
09/01/2024,2634.7649
10/01/2024,2746.7019
11/01/2024,2651.2196
12/01/2024,2624.603
01/01/2025,2798.1969
02/01/2025,2858.0493
03/01/2025,3123.0822
04/01/2025,3288.7814
05/01/2025,3289.5548
06/01/2025,3266.4101
07/01/2025,3285.7772
08/01/2025,3383.2532
