Date,Inflation
Apr-24,3.4
Mar-24,3.5
Feb-24,3.2
Jan-24,3.1
Dec-23,3.4
Nov-23,3.1
Oct-23,3.2
Sep-23,3.7
Aug-23,3.7
Jul-23,3.2
Jun-23,3
May-23,4
Apr-23,4.9
Mar-23,5
Feb-23,6
Jan-23,6.4
Dec-22,6.5
Nov-22,7.1
Oct-22,7.7
Sep-22,8.2
Aug-22,8.3
Jul-22,8.5
Jun-22,9.1
May-22,8.6
Apr-22,8.3
Mar-22,8.5
Feb-22,7.9
Jan-22,7.5
Dec-21,7
Nov-21,6.8
Oct-21,6.2
Sep-21,5.4
Aug-21,5.3
Jul-21,5.4
Jun-21,5.4
May-21,5
Apr-21,4.2
Mar-21,2.6
Feb-21,1.7
Jan-21,1.4
Dec-20,1.4
Nov-20,1.2
Oct-20,1.2
Sep-20,1.4
Aug-20,1.3
Jul-20,1
Jun-20,0.6
May-20,0.1
Apr-20,0.3
Mar-20,1.5
Feb-20,2.3
Jan-20,2.5
Dec-19,2.3
Nov-19,2.1
Oct-19,1.8
Sep-19,1.7
Aug-19,1.7
Jul-19,1.8
Jun-19,1.6
May-19,1.8
Apr-19,2
Mar-19,1.9
Feb-19,1.5
Jan-19,1.6
Dec-18,1.9
Nov-18,2.2
Oct-18,2.5
Sep-18,2.3
Aug-18,2.7
Jul-18,2.9
Jun-18,2.9
May-18,2.8
Apr-18,2.5
Mar-18,2.4
Feb-18,2.2
Jan-18,2.1
Dec-17,2.1
Nov-17,2.2
Oct-17,2
Sep-17,2.2
Aug-17,1.9
Jul-17,1.7
Jun-17,1.6
May-17,1.9
Apr-17,2.2
Mar-17,2.4
Feb-17,2.7
Jan-17,1.9
Dec-16,2.1
Nov-16,1.7
Oct-16,1.6
Sep-16,1.5
Aug-16,1.1
Jul-16,0.8
Jun-16,1
May-16,1
Apr-16,1.1
Mar-16,0.9
Feb-16,1
Jan-16,1.4
Dec-15,0.7
Nov-15,0.5
Oct-15,0.2
Sep-15,0
Aug-15,0.2
Jul-15,0.2
Jun-15,0.1
May-15,0
Apr-15,-0.2
Mar-15,-0.1
Feb-15,0
Jan-15,-0.1
Dec-14,0.8
Nov-14,1.3
Oct-14,1.7
Sep-14,1.7
Aug-14,1.7
Jul-14,2
Jun-14,2.1
May-14,2.1
Apr-14,2
Mar-14,1.5
Feb-14,1.1
Jan-14,1.6
Dec-13,1.5
Nov-13,1.2
Oct-13,1
Sep-13,1.2
Aug-13,1.5
Jul-13,2
Jun-13,1.8
May-13,1.4
Apr-13,1.1
Mar-13,1.5
Feb-13,2
Jan-13,1.6
Dec-12,1.7
Nov-12,1.8
Oct-12,2.2
Sep-12,2
Aug-12,1.7
Jul-12,1.4
Jun-12,1.7
May-12,1.7
Apr-12,2.3
Mar-12,2.7
Feb-12,2.9
Jan-12,2.9
Dec-11,3
Nov-11,3.4
Oct-11,3.5
Sep-11,3.9
Aug-11,3.8
Jul-11,3.6
Jun-11,3.6
May-11,3.6
Apr-11,3.2
Mar-11,2.7
Feb-11,2.1
Jan-11,1.6
Dec-10,1.5
Nov-10,1.1
Oct-10,1.2
Sep-10,1.1
Aug-10,1.1
Jul-10,1.2
Jun-10,1.1
May-10,2
Apr-10,2.2
Mar-10,2.3
Feb-10,2.1
Jan-10,2.6
Dec-09,2.7
Nov-09,1.8
Oct-09,-0.2
Sep-09,-1.3
Aug-09,-1.5
Jul-09,-2.1
Jun-09,-1.4
May-09,-1.3
Apr-09,-0.7
Mar-09,-0.4
Feb-09,0.2
Jan-09,0
Dec-08,0.1
Nov-08,1.1
Oct-08,3.7
Sep-08,4.9
Aug-08,5.4
Jul-08,5.6
Jun-08,5
May-08,4.2
Apr-08,3.9
Mar-08,4
Feb-08,4
Jan-08,4.3
