Date,CP,Sentiment,Volume,Interest_Rate,Inflation_Rate
2008-01-02,1447.16,-0.4787920794139306,3452650000.0,3.94,4.3
2008-01-03,1447.16,0.7974335998296738,3429500000.0,3.94,4.3
2008-01-07,1416.18,0.42151013016700745,4221260000.0,3.94,4.3
2008-01-09,1409.13,-0.3756054495461285,5351030000.0,3.94,4.3
2008-01-10,1420.33,0.25989577174186707,5170490000.0,3.94,4.3
2008-01-22,1310.5,-0.4928643216844648,6544690000.0,3.94,4.3
2008-01-29,1362.3,-0.7234457992017269,4232960000.0,3.94,4.3
2008-01-30,1355.81,0.08016062155365944,4742760000.0,3.94,4.3
2008-02-01,1395.42,0.06592930294573307,4650770000.0,2.98,4.0
2008-02-05,1336.64,-0.37744014523923397,4315740000.0,2.98,4.0
2008-02-11,1339.13,-0.8214421621523798,3593140000.0,2.98,4.0
2008-02-21,1342.53,0.014506332576274872,3696660000.0,2.98,4.0
2008-02-22,1353.11,-0.415914885699749,3572660000.0,2.98,4.0
2008-02-28,1367.68,0.03742328658699989,3938580000.0,2.98,4.0
2008-02-29,1330.63,-0.9265904854983091,4426730000.0,2.98,4.0
2008-03-05,1333.7,0.04462444968521595,4277710000.0,2.61,4.0
2008-03-07,1293.37,-0.4412643532268703,4565410000.0,2.61,4.0
2008-03-10,1273.37,-0.9610296883620322,4261240000.0,2.61,4.0
2008-03-11,1320.65,0.2531260550022125,5109080000.0,2.61,4.0
2008-03-18,1330.74,-0.22696301341056824,5335630000.0,2.61,4.0
2008-03-27,1325.76,-0.9472321271896362,4037930000.0,2.61,4.0
2008-04-02,1367.53,-0.9620624631643295,4320440000.0,2.28,3.9
2008-04-07,1372.54,-0.011677246540784836,3747780000.0,2.28,3.9
2008-04-16,1364.71,0.23011117009446025,4260370000.0,2.28,3.9
2008-04-22,1375.94,-0.011357899755239487,3821900000.0,2.28,3.9
2008-04-23,1379.93,-0.5390292927622795,4103610000.0,2.28,3.9
2008-04-24,1388.82,-0.9448549579828978,4461660000.0,2.28,3.9
2008-04-25,1397.84,0.04491865634918213,3891150000.0,2.28,3.9
2008-05-05,1407.49,0.14195092022418976,3410090000.0,1.98,4.2
2008-05-06,1418.26,0.7009331732988358,3924100000.0,1.98,4.2
2008-05-07,1392.57,-0.9347987547516823,4075860000.0,1.98,4.2
2008-05-08,1397.68,-0.9500981755554676,3827550000.0,1.98,4.2
