,pearson_r,spearman_r,mi
GDP_yoy_zscore,0.0034961144167829695,0.007247490112452596,0.011764210461507663
dayofyear_sin,-0.004068557520833652,-0.002806249507036842,0.00870426839693117
price_MA60_ratio,-0.015521600351067057,-0.015374715420601613,0.008359879628212497
ret_3d,-0.017410288520879787,-0.014152816722236481,0.007790845607606123
volume_lag_1_ratio,0.009116987724169339,0.013416196771582442,0.007421484206635132
log_return,-0.030019981100563232,-0.022096979574674644,0.006995683851344747
ret_1d,-0.030101233064607612,-0.022096979574674644,0.006974043246149808
daily_return,-0.030101233064607612,-0.022096979574674644,0.006974043246149808
return_lag_1,0.022619970810519,0.003798854316944395,0.0068382787687846225
volume_lag_3_ratio,0.004532858140335212,-0.003140348459958615,0.005396075466834738
OBV_roc_10,-0.008247934786445896,-0.00409876386828211,0.004912032067537986
stoch_d,-0.021762777265064925,-0.024587726374853184,0.004645515602988759
MACD_pct,-0.01391111560613806,-0.012735025685345768,0.004582989844883922
close_open_ratio,-0.028125905877158967,-0.021004191735792276,0.004102169823784418
dayofweek_cos,-0.007762165718253014,-0.010591716551620655,0.0038668085661082152
BB_position,-0.016631547622438327,-0.018942060610197597,0.003555561053310896
volatility,0.0022516606433225267,0.008771848456332398,0.003253739796827304
MACD_signal_pct,-0.007229986198379619,-0.00996905824426352,0.003097488329234732
dayofyear_cos,0.003409224688214982,0.0007503860575890464,0.003015070165063971
volume_MA14_ratio,0.0076193102391071835,0.006797949830321549,0.002386368080148582
price_MA14_ratio,-0.024473987562128912,-0.022106693244353597,0.0019310555989333622
ret_21d,-0.01799173595570687,-0.017069750779579146,0.0016472682873178712
return_lag_21,-0.016763925791366794,-0.012099589793847506,0.0013683244637991976
volume_lag_5_ratio,0.014707576849383022,0.015258556120690783,0.0013285712548838369
hl_spread,-0.0019494574417629452,-0.00016837027443520865,0.0010505712193547012
ATR_pct,0.006568576571428328,0.009028855966588064,0.0009057084985597541
volume_MA7_ratio,0.006615164626945162,0.006447245881558836,0.0008642250876267354
dayofweek_sin,-0.0058012407564554695,-0.004607411158790326,0.0005797326615786247
price_EMA26_ratio,-0.023123320718972717,-0.019686370549347472,0.0
MACD_histogram_pct,-0.02237286757992104,-0.021151515725923085,0.0
price_MA30_ratio,-0.02273143765254815,-0.018318766805798022,0.0
return_lag_2,-0.029619473546908515,-0.024958869503836568,0.0
price_MA7_ratio,-0.02348552297925593,-0.019028269428598314,0.0
RSI,-0.028119568262895318,-0.02603344421207089,0.0
Sentiment_zscore,0.01670440356779377,0.04139715075754782,0.0
volume_lag_7_ratio,0.016238226962144976,0.010315512462812891,0.0
return_lag_14,-0.021379701245980796,-0.006122040315160976,0.0
ret_10d,-0.024775795710893715,-0.02150606466920492,0.0
price_EMA12_ratio,-0.02520424457547368,-0.02176104849827747,0.0
ret_5d,-0.02636901488221374,-0.0236434767348115,0.0
Interest_rate_delta,-0.024205054809768402,-0.02985835881224941,0.0
volume_MA30_ratio,0.013944809189352397,0.013524666082997431,0.0
stoch_k,-0.02109077233901101,-0.023393349740578426,0.0
return_lag_7,-0.016741382368030504,-0.008004873287931626,0.0
month_cos,0.0074906295159136846,0.0053152280123826105,0.0
return_lag_3,-0.013811983100907671,-0.012638698461029472,0.0
volume_lag_14_ratio,-0.012557743673844723,-0.021651769714389233,0.0
return_lag_5,-0.011742566534024066,-0.008977049728300306,0.0
volume_MA60_ratio,0.009977655364292784,0.013257540166826188,0.0
volume_ratio,0.009977655364292784,0.013257540166826188,0.0
volume_lag_2_ratio,-0.002586409635546704,0.0011741398224436065,0.0
volume_lag_21_ratio,-0.0008125092794879613,-0.008006492232878118,0.0
month_sin,-0.0004890078326231413,0.0009834981945354092,0.0
BB_width,0.002493835106270261,0.00511262814102297,0.0
Unemployment_delta,0.008247340759931485,0.027765801731207608,0.0
Inflation_delta,0.007945451773179103,0.005587999111411553,0.0
Gold_return,0.005238215375901743,0.01783410954889545,0.0
OBV_roc_21,0.027841969880835305,-0.012263912705916483,0.0
